time,total
Thu Dec 15 22:46:09 EST 2016,0m7.697s
Thu Dec 15 22:58:08 EST 2016,0m7.492s
Thu Dec 15 23:04:08 EST 2016,0m7.425s
Thu Dec 15 23:12:08 EST 2016,0m7.440s
Thu Dec 15 23:27:09 EST 2016,0m7.428s
Thu Dec 15 23:34:08 EST 2016,0m7.236s
Thu Dec 15 23:46:08 EST 2016,0m7.350s
Thu Dec 15 23:58:08 EST 2016,0m7.240s
Fri Dec 16 00:04:09 EST 2016,0m7.330s
Fri Dec 16 00:12:08 EST 2016,0m7.342s
Fri Dec 16 00:27:09 EST 2016,0m7.412s
Fri Dec 16 00:34:08 EST 2016,0m7.355s
Fri Dec 16 00:46:08 EST 2016,0m7.162s
Fri Dec 16 00:58:09 EST 2016,0m7.299s
Fri Dec 16 01:04:08 EST 2016,0m7.181s
Fri Dec 16 01:12:08 EST 2016,0m7.274s
Fri Dec 16 01:27:09 EST 2016,0m7.285s
Fri Dec 16 01:34:08 EST 2016,0m7.200s
Fri Dec 16 01:46:08 EST 2016,0m7.373s
Fri Dec 16 01:58:09 EST 2016,0m7.349s
Fri Dec 16 02:04:08 EST 2016,0m7.396s
Fri Dec 16 02:12:09 EST 2016,0m7.380s
Fri Dec 16 02:27:08 EST 2016,0m7.219s
Fri Dec 16 02:34:08 EST 2016,0m7.233s
Fri Dec 16 02:46:09 EST 2016,0m7.222s
Fri Dec 16 02:58:08 EST 2016,0m7.097s
Fri Dec 16 03:04:08 EST 2016,0m7.107s
Fri Dec 16 03:12:08 EST 2016,0m7.217s
Fri Dec 16 03:27:08 EST 2016,0m7.277s
Fri Dec 16 03:34:09 EST 2016,0m7.203s
Fri Dec 16 03:46:08 EST 2016,0m7.261s
Fri Dec 16 03:58:08 EST 2016,0m7.208s
Fri Dec 16 04:04:08 EST 2016,0m7.152s
Fri Dec 16 04:12:08 EST 2016,0m7.319s
Fri Dec 16 04:27:08 EST 2016,0m7.174s
Fri Dec 16 04:34:08 EST 2016,0m7.212s
Fri Dec 16 04:46:09 EST 2016,0m7.170s
Fri Dec 16 04:58:08 EST 2016,0m7.182s
Fri Dec 16 05:04:08 EST 2016,0m7.127s
Fri Dec 16 05:12:08 EST 2016,0m7.147s
Fri Dec 16 05:27:08 EST 2016,0m7.099s
Fri Dec 16 05:34:08 EST 2016,0m7.072s
Fri Dec 16 05:46:09 EST 2016,0m7.125s
Fri Dec 16 05:58:08 EST 2016,0m7.231s
Fri Dec 16 06:04:09 EST 2016,0m8.385s
Fri Dec 16 06:12:09 EST 2016,0m7.234s
Fri Dec 16 06:27:08 EST 2016,0m7.236s
Fri Dec 16 06:34:08 EST 2016,0m7.292s
Fri Dec 16 06:46:09 EST 2016,0m7.261s
Fri Dec 16 06:58:08 EST 2016,0m7.248s
Fri Dec 16 07:04:08 EST 2016,0m7.221s
Fri Dec 16 07:12:08 EST 2016,0m7.290s
Fri Dec 16 07:27:09 EST 2016,0m7.348s
Fri Dec 16 07:34:08 EST 2016,0m7.247s
Fri Dec 16 07:46:09 EST 2016,0m7.221s
Fri Dec 16 07:58:08 EST 2016,0m7.342s
Fri Dec 16 08:04:08 EST 2016,0m7.314s
Fri Dec 16 08:12:08 EST 2016,0m7.471s
Fri Dec 16 08:27:08 EST 2016,0m7.295s
Fri Dec 16 08:34:09 EST 2016,0m7.184s
Fri Dec 16 08:46:08 EST 2016,0m7.138s
Fri Dec 16 08:58:08 EST 2016,0m7.170s
Fri Dec 16 09:04:08 EST 2016,0m7.309s
Fri Dec 16 09:12:09 EST 2016,0m7.247s
Fri Dec 16 09:27:09 EST 2016,0m7.944s
Fri Dec 16 09:34:08 EST 2016,0m7.161s
Fri Dec 16 09:46:08 EST 2016,0m7.414s
Fri Dec 16 09:58:09 EST 2016,0m7.376s
Fri Dec 16 10:04:08 EST 2016,0m7.391s
