time,total
Fri Dec 16 05:46:02 EST 2016,0m0.068s
Fri Dec 16 05:58:01 EST 2016,0m0.069s
Fri Dec 16 06:04:01 EST 2016,0m0.075s
Fri Dec 16 06:12:01 EST 2016,0m0.064s
Fri Dec 16 06:27:01 EST 2016,0m0.072s
Fri Dec 16 06:34:01 EST 2016,0m0.079s
Fri Dec 16 06:46:01 EST 2016,0m0.052s
Fri Dec 16 06:58:01 EST 2016,0m0.072s
Fri Dec 16 07:04:01 EST 2016,0m0.073s
Fri Dec 16 07:12:01 EST 2016,0m0.071s
Fri Dec 16 07:27:02 EST 2016,0m0.071s
Fri Dec 16 07:34:01 EST 2016,0m0.058s
Fri Dec 16 07:46:02 EST 2016,0m0.076s
Fri Dec 16 07:58:01 EST 2016,0m0.068s
Fri Dec 16 08:04:01 EST 2016,0m0.063s
Fri Dec 16 08:12:01 EST 2016,0m0.072s
Fri Dec 16 08:27:01 EST 2016,0m0.061s
Fri Dec 16 08:34:01 EST 2016,0m0.058s
Fri Dec 16 08:46:01 EST 2016,0m0.066s
Fri Dec 16 08:58:01 EST 2016,0m0.077s
Fri Dec 16 09:04:01 EST 2016,0m0.059s
Fri Dec 16 09:12:02 EST 2016,0m0.068s
Fri Dec 16 09:27:01 EST 2016,0m0.073s
Fri Dec 16 09:34:01 EST 2016,0m0.077s
Fri Dec 16 09:46:01 EST 2016,0m0.065s
Fri Dec 16 09:58:01 EST 2016,0m0.059s
Fri Dec 16 10:04:01 EST 2016,0m0.064s
Fri Dec 16 10:12:01 EST 2016,0m0.056s
Fri Dec 16 10:27:01 EST 2016,0m0.084s
Fri Dec 16 10:34:01 EST 2016,0m0.070s
Fri Dec 16 10:46:01 EST 2016,0m0.074s
Fri Dec 16 10:58:01 EST 2016,0m0.064s
Fri Dec 16 11:04:01 EST 2016,0m0.058s
Fri Dec 16 11:12:01 EST 2016,0m0.060s
Fri Dec 16 11:27:01 EST 2016,0m0.072s
Fri Dec 16 11:34:01 EST 2016,0m0.077s
Fri Dec 16 11:46:01 EST 2016,0m0.078s
Fri Dec 16 11:58:01 EST 2016,0m0.055s
Fri Dec 16 12:04:01 EST 2016,0m0.057s
Fri Dec 16 12:12:01 EST 2016,0m0.071s
Fri Dec 16 12:27:01 EST 2016,0m0.064s
Fri Dec 16 12:34:01 EST 2016,0m0.058s
Fri Dec 16 12:46:01 EST 2016,0m0.054s
Fri Dec 16 12:58:01 EST 2016,0m0.062s
Fri Dec 16 13:04:01 EST 2016,0m0.064s
Fri Dec 16 13:12:01 EST 2016,0m0.089s
Fri Dec 16 13:27:01 EST 2016,0m0.069s
Fri Dec 16 13:34:01 EST 2016,0m0.061s
